tanggal,waktu,sumber,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation
07/03/2020,00:38:18,plant_vase1_2,0.21,0.33,0.31,0.14,0.03,False
07/03/2020,00:39:18,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:39:18,plant_vase1_2,0.21,0.32,0.31,0.1,0.02,False
07/03/2020,00:40:19,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:40:19,plant_vase1_2,0.21,0.32,0.3,0.1,0.02,False
07/03/2020,00:41:19,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:41:19,plant_vase1_2,0.21,0.33,0.3,0.1,0.02,False
07/03/2020,00:42:19,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:42:19,plant_vase1_2,0.21,0.32,0.32,0.1,0.02,False
07/03/2020,00:43:19,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:43:19,plant_vase1_2,0.21,0.33,0.31,0.1,0.02,False
07/03/2020,00:44:19,plant_vase1,0.67,0.67,0.73,0.52,0.02,False
07/03/2020,00:44:19,plant_vase1_2,0.21,0.33,0.3,0.1,0.02,False
07/03/2020,00:45:19,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:45:19,plant_vase1_2,0.21,0.32,0.3,0.1,0.02,False
07/03/2020,00:46:19,plant_vase1,0.65,0.67,0.73,0.52,0.02,False
07/03/2020,00:46:19,plant_vase1_2,0.21,0.32,0.3,0.1,0.02,False
07/03/2020,00:47:19,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:47:19,plant_vase1_2,0.21,0.31,0.3,0.1,0.02,False
07/03/2020,00:48:19,plant_vase1,0.66,0.67,0.73,0.51,0.02,False
07/03/2020,00:48:19,plant_vase1_2,0.21,0.31,0.3,0.1,0.02,False
07/03/2020,00:49:19,plant_vase1,0.66,0.67,0.73,0.51,0.03,False
07/03/2020,00:49:19,plant_vase1_2,0.23,0.32,0.31,0.12,0.03,False
07/03/2020,00:50:19,plant_vase1,0.66,0.67,0.73,0.51,0.02,False
07/03/2020,00:50:19,plant_vase1_2,0.21,0.32,0.3,0.1,0.02,False
07/03/2020,00:51:19,plant_vase1,0.66,0.67,0.73,0.52,0.02,False
07/03/2020,00:51:19,plant_vase1_2,0.21,0.32,0.31,0.1,0.02,False
07/03/2020,00:52:19,plant_vase1,0.65,0.67,0.73,0.52,0.02,False
07/03/2020,00:52:19,plant_vase1_2,0.21,0.32,0.31,0.1,0.02,False
07/03/2020,00:53:19,plant_vase1,0.65,0.67,0.73,0.52,0.02,False
07/03/2020,00:53:19,plant_vase1_2,0.21,0.32,0.31,0.1,0.02,False
07/03/2020,00:54:19,plant_vase1,0.65,0.67,0.73,0.52,0.02,False
07/03/2020,00:54:19,plant_vase1_2,0.21,0.31,0.31,0.1,0.02,False
07/03/2020,00:55:19,plant_vase1,0.64,0.67,0.73,0.52,0.02,False
07/03/2020,00:55:19,plant_vase1_2,0.21,0.31,0.31,0.1,0.02,False
07/03/2020,00:56:19,plant_vase1,0.64,0.67,0.73,0.52,0.02,False
